"Airline","Airline ID","Source airport","Source airport ID","Destination airport","Destination airport ID","Codeshare","Stops","Equipment"
"7S","\N","RSH","7098","ANI","5967",,0,
"7S","\N","SHX","7090","ANI","5967",,0,
"9E","3976","ATL","3682","MSP","3858",,0,
"9E","3976","GFK","3442","TVF","7018",,0,
"9E","3976","MSP","3858","ATL","3682",,0,
"9E","3976","TVF","7018","GFK","3442",,0,
"AA","24","AUS","3673","MSY","3861",,0,
"AA","24","LIR","1881","SJO","1885",,0,
"AA","24","MSY","3861","AUS","3673",,0,
"BA","1355","ATL","3682","DFW","3670",,0,
"BA","1355","FRA","340","ATL","3682",,0,
"DL","2009","DAL","3502","ATL","3682",,0,
"DL","2009","YYZ","193","ATL","3682",,0,
"KO","109","ANC","3774","ILI","3429",,0,
"KO","109","ILI","3429","ANC","3774",,0,
"OZ","28","ATL","3682","JFK","3797",,0,
"QR","4091","ATL","3682","IAH","3550",,0,
"WN","4547","ATL","3682","CHS","3806",,0,
